simulated_period,simulated_disaster,year,month,day,date,region,pa_projects,ia_registrations
5,270,2021,9,9,2021-09-09,2,1619,0
5,271,2021,9,10,2021-09-10,9,184,27978
5,272,2021,9,13,2021-09-13,9,1357,52158
5,273,2021,9,21,2021-09-21,2,335,8232
5,274,2021,9,22,2021-09-22,1,7,0
5,275,2021,9,22,2021-09-22,2,6572,249719
5,276,2021,10,11,2021-10-11,7,129,0
5,277,2021,10,16,2021-10-16,3,261,7246
5,278,2021,10,19,2021-10-19,3,37,0
5,279,2021,10,28,2021-10-28,1,92,0
5,280,2021,11,25,2021-11-25,2,386,0
5,281,2021,11,26,2021-11-26,2,27,0
5,282,2022,1,13,2022-01-13,6,1134,0
5,283,2022,2,1,2022-02-01,4,341,0
5,284,2022,2,4,2022-02-04,4,719,3999
5,285,2022,2,7,2022-02-07,4,0,256
5,286,2022,2,11,2022-02-11,6,10,0
5,287,2022,2,12,2022-02-12,8,192,0
6,288,2021,3,2,2021-03-02,9,559,18771
6,289,2021,3,30,2021-03-30,10,12,0
6,290,2021,4,4,2021-04-04,4,64,0
6,291,2021,4,17,2021-04-17,4,0,364
6,292,2021,4,24,2021-04-24,10,62,0
6,293,2021,4,28,2021-04-28,1,122,0
6,294,2021,5,3,2021-05-03,7,264,0
6,295,2021,5,5,2021-05-05,7,219,0
6,296,2021,5,11,2021-05-11,9,62,0
6,297,2021,5,13,2021-05-13,7,161,0
6,298,2021,5,13,2021-05-13,10,61,0
6,299,2021,5,15,2021-05-15,5,3577,7647
6,300,2021,5,20,2021-05-20,9,68,0
6,301,2021,5,21,2021-05-21,1,210,472
6,302,2021,5,23,2021-05-23,9,45,0
6,303,2021,5,24,2021-05-24,10,30,0
6,304,2021,6,5,2021-06-05,9,37,0
6,305,2021,6,7,2021-06-07,5,603,14545
6,306,2021,6,21,2021-06-21,3,107,0
6,307,2021,7,7,2021-07-07,4,338,0
6,308,2021,7,9,2021-07-09,4,1639,24228
6,309,2021,7,12,2021-07-12,4,59,0
6,310,2021,7,19,2021-07-19,6,145,0
6,311,2021,7,20,2021-07-20,3,250,0
6,312,2021,7,21,2021-07-21,4,125,0
6,313,2021,8,7,2021-08-07,3,744,5200
6,314,2021,8,9,2021-08-09,4,473,4052
6,315,2021,8,13,2021-08-13,7,122,0
6,316,2021,8,20,2021-08-20,2,8754,7309
6,317,2021,8,21,2021-08-21,9,58,0
6,318,2021,8,23,2021-08-23,9,78,9811
6,319,2021,8,30,2021-08-30,2,658,0
6,320,2021,9,3,2021-09-03,4,1099,61962
6,321,2021,9,8,2021-09-08,5,1498,0
6,322,2021,9,14,2021-09-14,10,19,0
6,323,2021,9,17,2021-09-17,7,155,0
6,324,2021,9,22,2021-09-22,4,374,0
6,325,2021,9,23,2021-09-23,4,191,35525
6,326,2021,9,24,2021-09-24,1,417,0
6,327,2021,9,30,2021-09-30,9,356,0
6,328,2021,9,30,2021-09-30,10,86,0
6,329,2021,10,10,2021-10-10,7,14,0
6,330,2021,10,11,2021-10-11,2,172,0
6,331,2021,10,17,2021-10-17,6,35,0
6,332,2021,10,22,2021-10-22,2,104,0
6,333,2021,10,24,2021-10-24,2,511,0
6,334,2021,10,24,2021-10-24,7,56,0
6,335,2021,11,10,2021-11-10,3,34,0
6,336,2021,11,21,2021-11-21,4,11,0
6,337,2021,12,4,2021-12-04,6,40,0
6,338,2021,12,4,2021-12-04,10,171,0
6,339,2021,12,8,2021-12-08,6,27,0
6,340,2021,12,11,2021-12-11,2,53,0
6,341,2021,12,18,2021-12-18,3,509,0
6,342,2021,12,18,2021-12-18,7,26,0
6,343,2022,1,15,2022-01-15,8,15,0
6,344,2022,2,2,2022-02-02,5,969,0
6,345,2022,2,16,2022-02-16,2,248,0
6,346,2022,2,21,2022-02-21,5,388,0
6,347,2022,2,22,2022-02-22,2,1383,0
7,348,2021,2,24,2021-02-24,3,79,0
7,349,2021,3,2,2021-03-02,8,46,0
7,350,2021,3,7,2021-03-07,2,2508,3814
7,351,2021,3,9,2021-03-09,5,2054,0
7,352,2021,3,10,2021-03-10,5,558,0
7,353,2021,3,13,2021-03-13,8,1438,312
7,354,2021,3,16,2021-03-16,8,150,0
7,355,2021,3,27,2021-03-27,7,785,0
7,356,2021,3,31,2021-03-31,6,0,854
7,357,2021,4,8,2021-04-08,6,19,0
7,358,2021,4,9,2021-04-09,6,0,233
7,359,2021,4,9,2021-04-09,6,826,1405
7,360,2021,4,11,2021-04-11,7,14,0
7,361,2021,4,11,2021-04-11,9,237,0
7,362,2021,4,12,2021-04-12,6,84,0
7,363,2021,4,13,2021-04-13,6,0,1379
7,364,2021,4,17,2021-04-17,4,54,0
7,365,2021,4,17,2021-04-17,6,0,620
7,366,2021,4,24,2021-04-24,3,94,0
7,367,2021,4,26,2021-04-26,6,308,0
7,368,2021,4,26,2021-04-26,6,6174,7582
7,369,2021,6,3,2021-06-03,4,563,0
7,370,2021,6,4,2021-06-04,8,115,0
7,371,2021,6,11,2021-06-11,1,56,0
7,372,2021,6,12,2021-06-12,4,408,0
7,373,2021,6,12,2021-06-12,7,234,0
7,374,2021,6,19,2021-06-19,4,74,0
7,375,2021,6,19,2021-06-19,8,114,0
7,376,2021,6,19,2021-06-19,8,415,0
7,377,2021,7,2,2021-07-02,5,171,0
7,378,2021,7,12,2021-07-12,4,93,0
7,379,2021,7,16,2021-07-16,4,153,0
7,380,2021,7,22,2021-07-22,8,177,0
7,381,2021,7,26,2021-07-26,8,156,18009
7,382,2021,8,3,2021-08-03,9,165,0
7,383,2021,8,15,2021-08-15,5,6659,44002
7,384,2021,8,20,2021-08-20,8,100,0
7,385,2021,8,21,2021-08-21,2,567,20787
7,386,2021,8,30,2021-08-30,1,73,0
7,387,2021,8,30,2021-08-30,10,338,587
7,388,2021,9,1,2021-09-01,2,710,0
7,389,2021,9,15,2021-09-15,5,485,0
7,390,2021,9,21,2021-09-21,7,98,0
7,391,2021,9,23,2021-09-23,9,34,0
7,392,2021,10,6,2021-10-06,7,18,0
7,393,2021,10,6,2021-10-06,8,14,0
7,394,2021,10,12,2021-10-12,4,94,0
7,395,2021,10,17,2021-10-17,8,32,0
7,396,2021,10,17,2021-10-17,9,39,0
7,397,2021,11,4,2021-11-04,1,402,6557
7,398,2021,11,7,2021-11-07,6,99,0
7,399,2021,11,20,2021-11-20,2,199,0
7,400,2021,11,20,2021-11-20,3,227,0
7,401,2021,11,21,2021-11-21,5,316,0
7,402,2021,11,25,2021-11-25,3,256,0
7,403,2021,11,30,2021-11-30,7,32,0
7,404,2021,12,27,2021-12-27,5,610,0
7,405,2022,1,1,2022-01-01,6,81,0
7,406,2022,1,7,2022-01-07,8,4,0
7,407,2022,1,11,2022-01-11,8,31,0
7,408,2022,1,12,2022-01-12,9,80,0
7,409,2022,1,13,2022-01-13,9,37,0
7,410,2022,1,15,2022-01-15,1,475,191
7,411,2022,1,19,2022-01-19,1,129,0
7,412,2022,1,22,2022-01-22,1,658,0
7,413,2022,1,22,2022-01-22,5,1788,0
7,414,2022,1,24,2022-01-24,4,20,0
7,415,2022,2,4,2022-02-04,2,176,0
7,416,2022,2,15,2022-02-15,7,315,0
7,417,2022,2,17,2022-02-17,7,77,0
7,418,2022,2,18,2022-02-18,3,10,0
7,419,2022,2,21,2022-02-21,7,164,0
8,420,2021,4,1,2021-04-01,6,57,0
8,421,2021,4,3,2021-04-03,6,139,0
8,422,2021,4,6,2021-04-06,5,463,0
8,423,2021,4,9,2021-04-09,2,337,4518
8,424,2021,4,15,2021-04-15,10,1523,888
8,425,2021,4,18,2021-04-18,4,41,382
8,426,2021,4,22,2021-04-22,6,205,8975
8,427,2021,4,27,2021-04-27,4,1142,333
8,428,2021,5,4,2021-05-04,5,835,0
8,429,2021,5,9,2021-05-09,6,578,56906
8,430,2021,5,12,2021-05-12,9,76,0
8,431,2021,5,13,2021-05-13,9,121,0
8,432,2021,5,17,2021-05-17,1,132,0
8,433,2021,5,20,2021-05-20,3,280,2778
