simulated_period,simulated_disaster,year,month,day,date,region,pa_projects
8,432,2021,5,11,2021-05-11,9,0
8,433,2021,5,18,2021-05-18,3,1079
8,434,2021,5,26,2021-05-26,6,76
8,435,2021,6,7,2021-06-07,10,144
8,436,2021,6,17,2021-06-17,7,562
8,437,2021,6,17,2021-06-17,10,133
8,438,2021,6,21,2021-06-21,1,433
8,439,2021,6,26,2021-06-26,5,382
8,440,2021,7,1,2021-07-01,10,3789
8,441,2021,7,4,2021-07-04,6,736
8,442,2021,7,9,2021-07-09,3,347
8,443,2021,7,23,2021-07-23,9,59
8,444,2021,7,27,2021-07-27,7,283
8,445,2021,8,2,2021-08-02,4,1591
8,446,2021,8,6,2021-08-06,4,953
8,447,2021,8,6,2021-08-06,7,31
8,448,2021,8,15,2021-08-15,8,180
8,449,2021,8,19,2021-08-19,4,125
8,450,2021,8,28,2021-08-28,7,951
8,451,2021,8,29,2021-08-29,4,766
8,452,2021,9,9,2021-09-09,1,76
8,453,2021,9,15,2021-09-15,9,84
8,454,2021,9,22,2021-09-22,9,944
8,455,2021,9,27,2021-09-27,2,4953
8,456,2021,10,1,2021-10-01,3,0
8,457,2021,10,12,2021-10-12,7,30
8,458,2021,10,20,2021-10-20,3,608
8,459,2021,10,31,2021-10-31,6,104
8,460,2021,10,31,2021-10-31,7,0
8,461,2021,12,3,2021-12-03,5,333
8,462,2021,12,8,2021-12-08,5,3656
8,463,2021,12,17,2021-12-17,5,0
8,464,2021,12,25,2021-12-25,3,13
8,465,2021,12,25,2021-12-25,5,406
8,466,2021,12,29,2021-12-29,5,332
8,467,2022,1,1,2022-01-01,3,0
8,468,2022,1,4,2022-01-04,4,127
8,469,2022,1,7,2022-01-07,9,426
8,470,2022,1,8,2022-01-08,10,292
9,471,2021,1,26,2021-01-26,1,3
9,472,2021,1,27,2021-01-27,1,1327
9,473,2021,1,30,2021-01-30,10,78
9,474,2021,2,6,2021-02-06,4,209
9,475,2021,2,11,2021-02-11,7,61
9,476,2021,2,11,2021-02-11,8,84
9,477,2021,2,12,2021-02-12,2,3863
9,478,2021,2,13,2021-02-13,1,105
9,479,2021,2,25,2021-02-25,7,358
9,480,2021,3,4,2021-03-04,4,102
9,481,2021,3,12,2021-03-12,3,328
9,482,2021,3,14,2021-03-14,5,1332
9,483,2021,3,16,2021-03-16,4,56
9,484,2021,4,1,2021-04-01,4,0
9,485,2021,4,1,2021-04-01,4,52
9,486,2021,4,6,2021-04-06,4,981
9,487,2021,4,9,2021-04-09,4,73
9,488,2021,4,10,2021-04-10,3,2815
9,489,2021,4,12,2021-04-12,3,166
9,490,2021,4,17,2021-04-17,3,501
9,491,2021,4,19,2021-04-19,1,353
9,492,2021,4,22,2021-04-22,3,287
9,493,2021,4,25,2021-04-25,3,146
9,494,2021,4,26,2021-04-26,4,283
9,495,2021,5,6,2021-05-06,7,402
9,496,2021,5,30,2021-05-30,3,188
9,497,2021,6,2,2021-06-02,5,63
9,498,2021,6,7,2021-06-07,10,1939
9,499,2021,6,11,2021-06-11,5,90
9,500,2021,6,19,2021-06-19,2,601
9,501,2021,6,22,2021-06-22,4,158
9,502,2021,7,12,2021-07-12,3,1599
9,503,2021,8,17,2021-08-17,4,39
9,504,2021,8,19,2021-08-19,8,102
9,505,2021,9,1,2021-09-01,9,571
9,506,2021,9,2,2021-09-02,6,1550
9,507,2021,9,3,2021-09-03,6,691
9,508,2021,9,14,2021-09-14,1,44
9,509,2021,9,15,2021-09-15,6,175
9,510,2021,9,17,2021-09-17,9,62
9,511,2021,9,29,2021-09-29,9,47
9,512,2021,9,30,2021-09-30,2,84
9,513,2021,10,6,2021-10-06,5,0
9,514,2021,10,10,2021-10-10,8,350
9,515,2021,10,12,2021-10-12,9,90
9,516,2021,10,15,2021-10-15,5,818
9,517,2021,10,18,2021-10-18,5,0
9,518,2021,10,19,2021-10-19,5,863
9,519,2021,10,21,2021-10-21,10,130
9,520,2021,10,22,2021-10-22,5,26
9,521,2021,10,25,2021-10-25,5,54
9,522,2021,10,26,2021-10-26,5,0
9,523,2021,10,31,2021-10-31,3,117
9,524,2021,11,5,2021-11-05,3,33
9,525,2021,11,13,2021-11-13,3,7
9,526,2021,12,4,2021-12-04,2,200
9,527,2021,12,17,2021-12-17,7,291
9,528,2021,12,18,2021-12-18,8,19
9,529,2021,12,24,2021-12-24,1,101
9,530,2021,12,26,2021-12-26,7,133
