project_id,sent_to_crc_date,project_size,source,status
152460,2022-10-25,Large,pre_crc,pre_crc
152453,2021-02-07,Large,pre_crc,pre_crc
152844,2021-08-19,Very Large,pre_crc,pre_crc
152696,2021-07-02,Small,pre_crc,pre_crc
161058,2021-05-13,Small,pre_crc,pre_crc
161059,2022-06-22,Small,pre_crc,pre_crc
160820,2021-03-12,Large,pre_crc,pre_crc
160668,2021-03-14,Small,pre_crc,pre_crc
160701,2021-06-28,Large,pre_crc,pre_crc
160705,2021-03-21,Large,pre_crc,pre_crc
160494,2021-01-20,Small,pre_crc,pre_crc
160469,2021-04-04,Small,pre_crc,pre_crc
160475,2021-04-01,Large,pre_crc,pre_crc
160274,2021-11-25,Small,pre_crc,pre_crc
160251,2021-03-08,Small,pre_crc,pre_crc
160186,2021-02-02,Large,pre_crc,pre_crc
160220,2021-07-08,Large,pre_crc,pre_crc
160441,2021-03-06,Small,pre_crc,pre_crc
160443,2021-05-08,Small,pre_crc,pre_crc
160454,2021-03-29,Large,pre_crc,pre_crc
159997,2021-07-17,Small,pre_crc,pre_crc
159983,2021-09-08,Large,pre_crc,pre_crc
160071,2021-08-12,Small,pre_crc,pre_crc
159035,2021-04-16,Small,pre_crc,pre_crc
159044,2021-03-30,Small,pre_crc,pre_crc
159239,2022-09-12,Small,pre_crc,pre_crc
159257,2022-01-01,Small,pre_crc,pre_crc
159278,2021-07-09,Small,pre_crc,pre_crc
158731,2021-11-07,Large,pre_crc,pre_crc
158945,2021-02-28,Small,pre_crc,pre_crc
158942,2021-08-18,Small,pre_crc,pre_crc
158922,2021-02-26,Large,pre_crc,pre_crc
159824,2021-12-08,Large,pre_crc,pre_crc
159567,2022-02-08,Very Large,pre_crc,pre_crc
162189,2021-02-09,Small,pre_crc,pre_crc
162227,2021-04-06,Small,pre_crc,pre_crc
161745,2021-01-21,Small,pre_crc,pre_crc
161741,2021-03-04,Small,pre_crc,pre_crc
161742,2022-03-20,Small,pre_crc,pre_crc
161750,2022-07-25,Small,pre_crc,pre_crc
161752,2021-05-05,Small,pre_crc,pre_crc
161748,2021-05-08,Small,pre_crc,pre_crc
161154,2021-03-11,Small,pre_crc,pre_crc
161323,2021-09-14,Small,pre_crc,pre_crc
161245,2021-07-13,Small,pre_crc,pre_crc
161243,2021-04-05,Small,pre_crc,pre_crc
161542,2021-02-16,Small,pre_crc,pre_crc
161644,2021-03-08,Small,pre_crc,pre_crc
161358,2021-06-03,Small,pre_crc,pre_crc
162583,2021-02-07,Small,pre_crc,pre_crc
162590,2021-05-15,Small,pre_crc,pre_crc
162592,2022-03-21,Small,pre_crc,pre_crc
162887,2021-05-07,Small,pre_crc,pre_crc
163373,2021-01-28,Small,pre_crc,pre_crc
163371,2021-03-16,Small,pre_crc,pre_crc
158165,2021-08-25,Small,pre_crc,pre_crc
158251,2021-05-12,Large,pre_crc,pre_crc
158382,2021-04-07,Small,pre_crc,pre_crc
158347,2021-07-17,Small,pre_crc,pre_crc
158029,2021-01-24,Small,pre_crc,pre_crc
157884,2021-02-20,Large,pre_crc,pre_crc
157916,2021-08-30,Small,pre_crc,pre_crc
157913,2022-02-03,Small,pre_crc,pre_crc
157935,2021-01-29,Large,pre_crc,pre_crc
157965,2021-03-23,Small,pre_crc,pre_crc
157640,2021-11-17,Small,pre_crc,pre_crc
157622,2021-03-09,Small,pre_crc,pre_crc
157631,2021-06-26,Small,pre_crc,pre_crc
157632,2021-08-14,Small,pre_crc,pre_crc
157633,2021-10-04,Small,pre_crc,pre_crc
157634,2021-04-12,Small,pre_crc,pre_crc
157635,2021-02-28,Small,pre_crc,pre_crc
157636,2021-02-01,Small,pre_crc,pre_crc
157637,2021-07-15,Small,pre_crc,pre_crc
157638,2021-01-30,Small,pre_crc,pre_crc
157573,2021-02-01,Small,pre_crc,pre_crc
157625,2021-03-31,Small,pre_crc,pre_crc
157626,2021-08-24,Small,pre_crc,pre_crc
157627,2021-10-11,Small,pre_crc,pre_crc
157628,2021-07-12,Small,pre_crc,pre_crc
157629,2021-03-02,Small,pre_crc,pre_crc
157611,2022-05-14,Small,pre_crc,pre_crc
157612,2021-02-01,Large,pre_crc,pre_crc
157613,2021-09-19,Small,pre_crc,pre_crc
157580,2021-07-01,Small,pre_crc,pre_crc
157575,2021-02-28,Small,pre_crc,pre_crc
157576,2021-05-17,Small,pre_crc,pre_crc
157577,2021-03-05,Small,pre_crc,pre_crc
157578,2021-06-25,Small,pre_crc,pre_crc
